,period,aumInUsdg,glpSupply,timestamp,date,price
0,daily,72440639489368021055751299,94972469955982091093184307,1662508800,2022-09-07,0.7627540857149747
1,daily,72677376088835013314654183,94787332437906687813664646,1662422400,2022-09-06,0.7667414433932354
2,daily,74614874535009734446514087,95996850426074336151635943,1662336000,2022-09-05,0.7772637769243218
3,daily,74772103836939781882522806,96292852844563790345234894,1662249600,2022-09-04,0.776507306909238
4,daily,74596710406104311578528905,96454331102844537745880920,1662163200,2022-09-03,0.7733889142475674
5,daily,75066850236130095115312007,96906915049661445895447338,1662076800,2022-09-02,0.7746284173596996
6,daily,75769243909486808066571847,97157428066314048694596212,1661990400,2022-09-01,0.7798605358076286
7,daily,75174049642599687369324903,97174071161882065525689673,1661904000,2022-08-31,0.7736019366459126
8,daily,74911064763995004732124313,96931259409129650288400500,1661817600,2022-08-30,0.7728266940988426
9,daily,81416707041106003002709562,103987512927665742111153456,1661731200,2022-08-29,0.7829469591963402
10,daily,79160033697920184613433981,104806090852056046019146099,1661644800,2022-08-28,0.7552999358564212
11,daily,81767393402065697436814511,105530618014580903161639922,1661558400,2022-08-27,0.7748215156928968
12,daily,84231034222177201826797548,107995428367144849707035257,1661472000,2022-08-26,0.7799499987705274
13,daily,87463493143759906074807543,107801572033454926052157005,1661385600,2022-08-25,0.8113378264708112
14,daily,87095709253051891561293041,107767377764104172043486855,1661299200,2022-08-24,0.808182504391067
15,daily,86666862562904866678362914,106641601568088818903327488,1661212800,2022-08-23,0.8126928073897087
16,daily,83696511210336332508055976,104002313746694166284969925,1661126400,2022-08-22,0.8047562423869318
17,daily,83751049119728912663043734,103911589767444779350923098,1661040000,2022-08-21,0.8059837146863467
18,daily,82515679226727946358710525,103872327156285902403197160,1660953600,2022-08-20,0.7943952107915632
19,daily,83054365239249131055973315,104256461337903304407483070,1660867200,2022-08-19,0.7966351837903214
20,daily,89142280902743252788106841,106864968654376276037888828,1660780800,2022-08-18,0.8341581158466259
21,daily,90534976483520834673659722,108026243343024929585820983,1660694400,2022-08-17,0.8380831701796517
22,daily,91081074424235363617870352,107224030526765274169391801,1660608000,2022-08-16,0.8494464718102506
23,daily,91281516844523330119489213,106852687623972648280710664,1660521600,2022-08-15,0.8542744115688871
24,daily,91250674021968421747711748,106446866200161565303412533,1660435200,2022-08-14,0.8572415260246518
25,daily,91616309692604178020451683,106361030560001075638331229,1660348800,2022-08-13,0.8613710229229209
26,daily,91517373122358304642251492,106266021850428923596986612,1660262400,2022-08-12,0.8612101171075213
27,daily,89716384857725482085838773,105656364964269034687559873,1660176000,2022-08-11,0.849133744929289
28,daily,90010058063738191378751500,105974834723240220475489276,1660089600,2022-08-10,0.8493531346267723
